pair_id,status,lat,lon,confidence,clip_score,visual_change_score,pixel_x,pixel_y,z,block_x,block_y,old_image,new_image
0060,new_building,40.21247964,29.13274616,0.5644,0.96,57.1645,465.5,502.5,18,152284,99038,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0060.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0060.png
0061,new_building,40.21085906,29.13201268,0.9171,0.9993,69.0322,328.77,386.09,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21086483,29.13224861,0.9061,0.9971,78.7609,372.75,384.68,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21047069,29.13087623,0.8799,0.98,55.6888,116.92,480.89,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21041883,29.13267712,0.874,0.9769,74.1987,452.63,493.55,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21064099,29.1325333,0.8631,0.9965,71.5443,425.82,439.32,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21123197,29.13138124,0.8362,0.9969,60.3912,211.06,295.06,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21109834,29.13089764,0.8318,0.9914,52.4976,120.91,327.68,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21134013,29.13287582,0.771,0.9297,63.3061,489.67,268.66,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21200185,29.13286627,0.6973,0.99,70.1694,487.89,107.13,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21132026,29.13274257,0.603,0.9501,66.3023,464.83,273.51,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21215855,29.13276939,0.5411,0.9894,65.5855,469.83,68.88,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21223949,29.13242295,0.517,0.9959,68.9625,405.25,49.12,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21237902,29.13087655,0.5004,0.9578,66.5912,116.98,15.06,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21227927,29.13263576,0.4573,0.996,67.4078,444.92,39.41,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21227661,29.1325245,0.3834,0.998,69.0491,424.18,40.06,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.2112584,29.13165852,0.3806,0.987,59.5929,262.75,288.61,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21241163,29.13266408,0.3581,0.9973,67.4237,450.2,7.1,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0061,new_building,40.21225568,29.13241244,0.3345,0.9963,68.9625,403.29,45.17,18,152284,99040,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0061.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0061.png
0062,new_building,40.20961661,29.13168014,0.9088,0.985,69.46,266.78,177.37,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20995537,29.13101678,0.8947,0.9882,64.797,143.12,94.68,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20983431,29.13123876,0.8855,0.988,64.687,184.5,124.23,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20964696,29.13124691,0.8848,0.9886,68.8056,186.02,169.96,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20964688,29.13092156,0.8842,0.6428,67.6667,125.37,169.98,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.21010768,29.13098663,0.8638,0.9889,60.6626,137.5,57.5,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20932484,29.13089131,0.8622,0.9674,67.7278,119.73,248.59,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20934774,29.13118147,0.858,0.992,68.3496,173.82,243.0,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20986188,29.13197368,0.8574,0.9855,67.0331,321.5,117.5,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.21028216,29.13165144,0.8291,0.9803,57.5608,261.43,14.91,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20849356,29.13297683,0.7941,0.9783,57.279,508.5,451.5,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20987577,29.13232001,0.7837,0.9882,58.6297,386.06,114.11,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20996893,29.13123994,0.764,0.9931,60.3438,184.72,91.37,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20937834,29.13260105,0.6958,0.9987,66.687,438.45,235.53,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
